"","dow","temp","BAR_OR_TAVERN"
"144","Friday",59.3,0.314285714285714
"146","Sunday",57.6,0.4
"147","Monday",62.1,0.142857142857143
"148","Tuesday",51.6,0.0857142857142857
"149","Wednesday",54.6,0.0285714285714286
"150","Thursday",51.3,0.0571428571428571
"151","Friday",58.2,0.0571428571428571
"153","Sunday",56.9,0.257142857142857
"154","Monday",60.4,0.0285714285714286
"155","Tuesday",58.5,0
"156","Wednesday",59.8,0.0571428571428571
"157","Thursday",62,0.0571428571428571
"158","Friday",59.8,0.228571428571429
"160","Sunday",57.7,0.428571428571429
"161","Monday",59.4,0.114285714285714
"162","Tuesday",63.7,0.0285714285714286
"163","Wednesday",62.9,0.114285714285714
"164","Thursday",56.7,0.0857142857142857
"165","Friday",61.7,0.0571428571428571
"166","Saturday",62.7,0.485714285714286
"167","Sunday",62.8,0.571428571428571
"168","Monday",66,0.142857142857143
"169","Tuesday",60.4,0.0285714285714286
"170","Wednesday",62.3,0.171428571428571
"171","Thursday",61,0.0285714285714286
"172","Friday",63.2,0.371428571428571
"173","Saturday",64.7,0.485714285714286
"174","Sunday",65.7,0.485714285714286
"175","Monday",68.5,0.2
"176","Tuesday",61.5,0.142857142857143
"177","Wednesday",67.3,0.0857142857142857
"178","Thursday",61.4,0.0571428571428571
"179","Friday",66.8,0.2
"181","Sunday",69.3,0.285714285714286
"183","Tuesday",67.9,0.0571428571428571
"184","Wednesday",70.2,0.142857142857143
"185","Thursday",66.6,0.142857142857143
"187","Saturday",68.9,0.2
"188","Sunday",69,0.4
"189","Monday",64.9,0.142857142857143
"190","Tuesday",69,0.0571428571428571
"191","Wednesday",71.5,0.0571428571428571
"192","Thursday",66.8,0.142857142857143
"193","Friday",70.8,0.2
"195","Sunday",71.8,0.2
"196","Monday",73.1,0.0285714285714286
"197","Tuesday",70.3,0.0285714285714286
"198","Wednesday",70.9,0.0571428571428571
"199","Thursday",71.4,0.0857142857142857
"200","Friday",69.2,0.114285714285714
"201","Saturday",76.2,0.428571428571429
"202","Sunday",76.7,0.457142857142857
"203","Monday",76.5,0.0285714285714286
"204","Tuesday",70.4,0.0571428571428571
"205","Wednesday",66.1,0.114285714285714
"206","Thursday",69.5,0
"207","Friday",67.1,0.228571428571429
"208","Saturday",67.1,0.342857142857143
"209","Sunday",66.9,0.228571428571429
"210","Monday",72.8,0
"211","Tuesday",73,0.142857142857143
"212","Wednesday",72.9,0.0571428571428571
"216","Sunday",73.3,0.8
"217","Monday",70.2,0
"218","Tuesday",68.9,0.0285714285714286
"219","Wednesday",70.2,0.0857142857142857
"220","Thursday",73.3,0.0571428571428571
"221","Friday",73.7,0.142857142857143
"222","Saturday",71.2,0.228571428571429
"223","Sunday",68.8,0.342857142857143
"224","Monday",71.2,0
"225","Tuesday",71.2,0.0285714285714286
"226","Wednesday",71.1,0.0285714285714286
"227","Thursday",68.6,0.371428571428571
"228","Friday",66.6,0.228571428571429
"229","Saturday",67.5,0.257142857142857
"230","Sunday",71.2,0.314285714285714
"231","Monday",73.3,0.142857142857143
"232","Tuesday",75.5,0
"233","Wednesday",70.6,0.0857142857142857
"234","Thursday",74.6,0.142857142857143
"235","Friday",72,0.114285714285714
"236","Saturday",68.3,0.2
"237","Sunday",65.5,0.0857142857142857
"238","Monday",64.3,0.0571428571428571
"239","Tuesday",60.4,0.0571428571428571
"240","Wednesday",65.4,0.0571428571428571
"241","Thursday",71,0.0571428571428571
"242","Friday",68,0.0857142857142857
"243","Saturday",70.3,0.342857142857143
"245","Monday",64.9,0.0571428571428571
"246","Tuesday",70,0.0285714285714286
"247","Wednesday",66.6,0.0571428571428571
"248","Thursday",67.7,0.0285714285714286
"249","Friday",59.3,0.257142857142857
"250","Saturday",62.1,0.228571428571429
"251","Sunday",66,0.2
"252","Monday",63.9,0.0285714285714286
"253","Tuesday",62.8,0.0285714285714286
"254","Wednesday",68.3,0.0285714285714286
"255","Thursday",65.4,0.0857142857142857
"256","Friday",59.6,0.257142857142857
"257","Saturday",60.7,0.457142857142857
"258","Sunday",68.2,0.342857142857143
"259","Monday",65.4,0.0285714285714286
"260","Tuesday",61.5,0.0857142857142857
"261","Wednesday",56,0
"262","Thursday",57.3,0.0571428571428571
"263","Friday",58.8,0.257142857142857
"264","Saturday",67,0.342857142857143
"265","Sunday",64.6,0.4
"266","Monday",68.5,0
"267","Tuesday",68.6,0.0857142857142857
"268","Wednesday",63.8,0.0857142857142857
"269","Thursday",64.7,0.0285714285714286
"270","Friday",63.5,0.2
"271","Saturday",63.8,0.285714285714286
"272","Sunday",66.9,0.4
"273","Monday",56.3,0.0571428571428571
"275","Wednesday",67.6,0.114285714285714
"276","Thursday",55.3,0.0571428571428571
"277","Friday",57.4,0.2
"278","Saturday",51.9,0.314285714285714
"279","Sunday",52,0.371428571428571
"280","Monday",66.9,0.142857142857143
"281","Tuesday",61.3,0.0285714285714286
"282","Wednesday",56.9,0
"283","Thursday",54.5,0.0857142857142857
"284","Friday",55.5,0.0285714285714286
"285","Saturday",56.2,0.2
"286","Sunday",57.6,0.314285714285714
"287","Monday",57.7,0.0857142857142857
"288","Tuesday",56.7,0.0285714285714286
"289","Wednesday",51.5,0.142857142857143
"290","Thursday",58.2,0.114285714285714
"291","Friday",55,0.114285714285714
"292","Saturday",50.5,0.228571428571429
"293","Sunday",49.3,0.228571428571429
"294","Monday",55.2,0.0857142857142857
"295","Tuesday",56.3,0
"296","Wednesday",61.4,0
"297","Thursday",55.5,0.0285714285714286
"298","Friday",55.9,0.171428571428571
"299","Saturday",55.2,0.628571428571429
"300","Sunday",53.4,0.628571428571429
"301","Monday",56,0.171428571428571
"302","Tuesday",55.1,0.0857142857142857
"303","Wednesday",57.8,0.0857142857142857
"304","Thursday",62.5,0.285714285714286
"306","Saturday",47,0.542857142857143
"307","Sunday",51,0.371428571428571
"308","Monday",48.1,0.0285714285714286
"309","Tuesday",56.6,0.0285714285714286
"310","Wednesday",51.5,0.0571428571428571
"311","Thursday",51.4,0.171428571428571
"312","Friday",42.7,0.0285714285714286
"313","Saturday",35.3,0.285714285714286
"314","Sunday",48.3,0.257142857142857
"315","Monday",51.5,0.0571428571428571
"316","Tuesday",53.9,0.0285714285714286
"317","Wednesday",29,0.0857142857142857
"318","Thursday",35,0.0285714285714286
"319","Friday",49.3,0.142857142857143
"320","Saturday",39.7,0.114285714285714
"321","Sunday",41.5,0.457142857142857
"322","Monday",48.4,0.0285714285714286
"323","Tuesday",46.5,0
"324","Wednesday",44.8,0
