"","dow","temp","TOTAL_CRIMES"
"165","Friday",61.7,0.91897233201581
"166","Saturday",62.7,0.970355731225296
"167","Sunday",62.8,0.75098814229249
"168","Monday",66,0.812252964426877
"169","Tuesday",60.4,0.741106719367589
"170","Wednesday",62.3,0.922924901185771
"171","Thursday",61,0.774703557312253
"172","Friday",63.2,0.865612648221344
"173","Saturday",64.7,0.956521739130435
"174","Sunday",65.7,0.924901185770751
"175","Monday",68.5,0.926877470355731
"176","Tuesday",61.5,0.875494071146245
"177","Wednesday",67.3,0.903162055335968
"178","Thursday",61.4,0.808300395256917
"179","Friday",66.8,1
"181","Sunday",69.3,0.91501976284585
"183","Tuesday",67.9,0.845849802371542
"184","Wednesday",70.2,0.920948616600791
"185","Thursday",66.6,0.905138339920949
"187","Saturday",68.9,0.938735177865613
"188","Sunday",69,0.857707509881423
"189","Monday",64.9,0.972332015810277
"190","Tuesday",69,0.794466403162055
"191","Wednesday",71.5,0.980237154150198
"192","Thursday",66.8,0.837944664031621
"193","Friday",70.8,0.883399209486166
"195","Sunday",71.8,0.887351778656126
"196","Monday",73.1,0.950592885375494
"197","Tuesday",70.3,0.818181818181818
"198","Wednesday",70.9,0.91304347826087
"199","Thursday",71.4,0.828063241106719
"200","Friday",69.2,0.911067193675889
"201","Saturday",76.2,0.960474308300395
"202","Sunday",76.7,0.855731225296443
"203","Monday",76.5,0.887351778656126
"204","Tuesday",70.4,0.883399209486166
"205","Wednesday",66.1,0.798418972332016
"206","Thursday",69.5,0.907114624505929
"207","Friday",67.1,0.938735177865613
"208","Saturday",67.1,0.958498023715415
"209","Sunday",66.9,0.972332015810277
"210","Monday",72.8,0.936758893280632
"211","Tuesday",73,0.861660079051383
"212","Wednesday",72.9,0.735177865612648
"216","Sunday",73.3,0.990118577075099
"217","Monday",70.2,0.924901185770751
"218","Tuesday",68.9,0.875494071146245
"219","Wednesday",70.2,0.865612648221344
"220","Thursday",73.3,0.946640316205534
"221","Friday",73.7,0.899209486166008
"222","Saturday",71.2,0.907114624505929
"223","Sunday",68.8,0.911067193675889
"224","Monday",71.2,0.727272727272727
"225","Tuesday",71.2,0.83201581027668
"226","Wednesday",71.1,0.893280632411067
"227","Thursday",68.6,0.934782608695652
"228","Friday",66.6,0.855731225296443
"229","Saturday",67.5,0.928853754940711
"230","Sunday",71.2,0.826086956521739
"231","Monday",73.3,0.881422924901186
"232","Tuesday",75.5,0.772727272727273
"233","Wednesday",70.6,0.75296442687747
"234","Thursday",74.6,0.816205533596838
"235","Friday",72,0.869565217391304
