"","dow_num","TOTAL_CRIMES"
"2",3,0.620553359683794
"3",4,0.812252964426877
"4",5,0.845849802371542
"5",6,0.891304347826087
"6",7,0.638339920948617
"7",1,0.662055335968379
"8",2,0.711462450592885
"9",3,0.573122529644269
"10",4,0.681818181818182
"11",5,0.875494071146245
"12",6,0.656126482213439
"13",7,0.458498023715415
"14",1,0.58102766798419
"15",2,0.705533596837945
"16",3,0.709486166007905
"17",4,0.616600790513834
"18",5,0.646245059288538
"19",6,0.357707509881423
"20",7,0.300395256916996
"21",1,0.424901185770751
"22",2,0.563241106719368
"23",3,0.634387351778656
"24",4,0.525691699604743
"25",5,0.484189723320158
"26",6,0.377470355731225
"27",7,0.361660079051383
"28",1,0.355731225296443
"29",2,0.302371541501976
"30",3,0
"31",4,0.233201581027668
"32",5,0.859683794466403
"33",6,0.75296442687747
"34",7,0.50395256916996
"35",1,0.780632411067194
"36",2,0.616600790513834
"37",3,0.58300395256917
"38",4,0.650197628458498
"39",5,0.594861660079051
"40",6,0.820158102766798
"41",7,0.58695652173913
"42",1,0.563241106719368
"43",2,0.640316205533597
"44",3,0.596837944664032
"45",4,0.792490118577075
"46",5,0.790513833992095
"47",6,0.66403162055336
"48",7,0.547430830039526
"49",1,0.492094861660079
"50",2,0.537549407114625
"51",3,0.58102766798419
"52",4,0.701581027667984
"53",5,0.733201581027668
"54",6,0.604743083003953
"55",7,0.407114624505929
"56",1,0.505928853754941
"57",2,0.529644268774704
"58",3,0.608695652173913
"59",4,0.50197628458498
"60",5,0.820158102766798
"61",6,0.640316205533597
"62",7,0.41501976284585
"63",1,0.401185770750988
"64",2,0.397233201581028
"65",3,0.569169960474308
"66",4,0.531620553359684
"67",5,0.745059288537549
"68",6,0.545454545454545
"69",7,0.535573122529644
"70",1,0.709486166007905
"71",2,0.565217391304348
"72",3,0.685770750988142
"73",4,0.662055335968379
"74",5,0.778656126482213
"75",6,0.839920948616601
"76",7,0.535573122529644
"77",1,0.612648221343874
"78",2,0.598814229249012
"79",3,0.695652173913043
"80",4,0.687747035573123
"81",5,0.727272727272727
"82",6,0.689723320158103
"83",7,0.606719367588933
"84",1,0.588932806324111
"85",2,0.654150197628458
"86",3,0.705533596837945
"87",4,0.675889328063241
"88",5,0.660079051383399
"89",6,0.636363636363636
"90",7,0.58498023715415
"91",1,0.895256916996047
"92",2,0.624505928853755
"93",3,0.6699604743083
"94",4,0.636363636363636
"95",5,0.719367588932806
"96",6,0.794466403162055
"97",7,0.715415019762846
"98",1,0.796442687747036
"99",2,0.695652173913043
"100",3,0.628458498023715
"101",4,0.800395256916996
"102",5,0.867588932806324
"103",6,0.816205533596838
"104",7,0.385375494071146
"105",1,0.756916996047431
"106",2,0.725296442687747
"107",3,0.693675889328063
"108",4,0.567193675889328
"109",5,0.610671936758893
"110",6,0.768774703557312
"111",7,0.600790513833992
"112",1,0.782608695652174
"113",2,0.794466403162055
"114",3,0.713438735177866
"115",4,0.841897233201581
"116",5,0.83201581027668
"117",6,0.569169960474308
"118",7,0.523715415019763
"119",1,0.743083003952569
"120",2,0.766798418972332
"121",3,0.940711462450593
"122",4,0.707509881422925
"123",5,0.889328063241107
"124",6,0.707509881422925
"125",7,0.865612648221344
"126",1,0.891304347826087
"127",2,0.709486166007905
"128",3,0.826086956521739
"129",4,0.782608695652174
"130",5,0.903162055335968
"131",6,0.701581027667984
"132",7,0.573122529644269
"133",1,0.887351778656126
"134",2,0.74901185770751
"135",3,0.837944664031621
"136",4,0.788537549407115
"137",5,0.857707509881423
"138",6,0.822134387351779
"139",7,0.857707509881423
"140",1,0.924901185770751
"141",2,0.764822134387352
"142",3,0.851778656126482
"143",4,0.851778656126482
"144",5,1
"146",7,0.960474308300395
"147",1,0.800395256916996
"148",2,0.802371541501976
"149",3,0.784584980237154
"150",4,0.800395256916996
"151",5,0.968379446640316
"153",7,0.778656126482213
"154",1,0.721343873517787
"155",2,0.851778656126482
"156",3,0.887351778656126
"157",4,0.790513833992095
"158",5,0.952569169960474
"160",7,0.91699604743083
"161",1,0.905138339920949
"162",2,0.861660079051383
"163",3,0.739130434782609
"164",4,0.711462450592885
"165",5,0.91897233201581
"166",6,0.970355731225296
"167",7,0.75098814229249
"168",1,0.812252964426877
"169",2,0.741106719367589
"170",3,0.922924901185771
"171",4,0.774703557312253
"172",5,0.865612648221344
"173",6,0.956521739130435
"174",7,0.924901185770751
"175",1,0.926877470355731
"176",2,0.875494071146245
"177",3,0.903162055335968
"178",4,0.808300395256917
"179",5,1
"181",7,0.91501976284585
"183",2,0.845849802371542
"184",3,0.920948616600791
"185",4,0.905138339920949
"187",6,0.938735177865613
"188",7,0.857707509881423
"189",1,0.972332015810277
"190",2,0.794466403162055
"191",3,0.980237154150198
"192",4,0.837944664031621
"193",5,0.883399209486166
"195",7,0.887351778656126
"196",1,0.950592885375494
"197",2,0.818181818181818
"198",3,0.91304347826087
"199",4,0.828063241106719
"200",5,0.911067193675889
"201",6,0.960474308300395
"202",7,0.855731225296443
"203",1,0.887351778656126
"204",2,0.883399209486166
"205",3,0.798418972332016
"206",4,0.907114624505929
"207",5,0.938735177865613
"208",6,0.958498023715415
"209",7,0.972332015810277
"210",1,0.936758893280632
"211",2,0.861660079051383
"212",3,0.735177865612648
"216",7,0.990118577075099
"217",1,0.924901185770751
"218",2,0.875494071146245
"219",3,0.865612648221344
"220",4,0.946640316205534
"221",5,0.899209486166008
"222",6,0.907114624505929
"223",7,0.911067193675889
"224",1,0.727272727272727
"225",2,0.83201581027668
"226",3,0.893280632411067
"227",4,0.934782608695652
"228",5,0.855731225296443
"229",6,0.928853754940711
"230",7,0.826086956521739
"231",1,0.881422924901186
"232",2,0.772727272727273
"233",3,0.75296442687747
"234",4,0.816205533596838
"235",5,0.869565217391304
"236",6,0.942687747035573
"237",7,0.841897233201581
"238",1,0.768774703557312
"239",2,0.772727272727273
"240",3,0.814229249011858
"241",4,0.853754940711462
"242",5,0.841897233201581
"243",6,0.857707509881423
"245",1,0.861660079051383
"246",2,0.6699604743083
"247",3,0.675889328063241
"248",4,0.608695652173913
"249",5,0.853754940711462
"250",6,0.782608695652174
"251",7,0.74901185770751
"252",1,0.863636363636364
"253",2,0.74901185770751
"254",3,0.808300395256917
"255",4,0.877470355731225
"256",5,0.940711462450593
"257",6,0.83596837944664
"258",7,0.877470355731225
"259",1,0.91897233201581
"260",2,0.869565217391304
"261",3,0.822134387351779
"262",4,0.885375494071146
"263",5,0.938735177865613
"264",6,0.822134387351779
"265",7,0.622529644268775
"266",1,0.839920948616601
"267",2,0.822134387351779
"268",3,0.735177865612648
"269",4,0.727272727272727
"270",5,0.646245059288538
"271",6,0.709486166007905
"272",7,0.735177865612648
"273",1,0.814229249011858
"275",3,0.768774703557312
"276",4,0.768774703557312
"277",5,0.741106719367589
"278",6,0.754940711462451
"279",7,0.650197628458498
"280",1,0.800395256916996
"281",2,0.733201581027668
"282",3,0.776679841897233
"283",4,0.604743083003953
"284",5,0.764822134387352
"285",6,0.772727272727273
"286",7,0.703557312252964
"287",1,0.681818181818182
"288",2,0.796442687747036
"289",3,0.790513833992095
"290",4,0.662055335968379
"291",5,0.717391304347826
"292",6,0.745059288537549
"293",7,0.74901185770751
"294",1,0.733201581027668
"295",2,0.630434782608696
"296",3,0.709486166007905
"297",4,0.741106719367589
"298",5,0.810276679841897
"299",6,0.430830039525692
"300",7,0.711462450592885
"301",1,0.630434782608696
"302",2,0.58102766798419
"303",3,0.468379446640316
"304",4,0.490118577075099
"306",6,0.638339920948617
"307",7,0.75098814229249
"308",1,0.654150197628458
"309",2,0.58300395256917
"310",3,0.632411067193676
"311",4,0.638339920948617
"312",5,0.6699604743083
"313",6,0.729249011857708
"314",7,0.614624505928854
"315",1,0.302371541501976
"316",2,0.407114624505929
"317",3,0.468379446640316
"318",4,0.468379446640316
"319",5,0.824110671936759
"320",6,0.638339920948617
"321",7,0.713438735177866
"322",1,0.675889328063241
"323",2,0.683794466403162
"324",3,0.766798418972332
"325",4,0.634387351778656
"326",5,0.762845849802372
"327",6,0.713438735177866
"328",7,0.705533596837945
"329",1,0.697628458498024
"330",2,0.66600790513834
"331",3,0.58498023715415
"332",4,0.3300395256917
"333",5,0.608695652173913
"334",6,0.636363636363636
"335",7,0.756916996047431
"336",1,0.727272727272727
"337",2,0.689723320158103
"338",3,0.800395256916996
"339",4,0.709486166007905
"340",5,0.780632411067194
"341",6,0.709486166007905
"342",7,0.652173913043478
"343",1,0.719367588932806
"344",2,0.660079051383399
"345",3,0.523715415019763
"346",4,0.622529644268775
"347",5,0.772727272727273
"348",6,0.673913043478261
"349",7,0.620553359683794
"350",1,0.559288537549407
"351",2,0.650197628458498
"352",3,0.616600790513834
"353",4,0.675889328063241
"354",5,0.760869565217391
"355",6,0.802371541501976
"356",7,0.671936758893281
"357",1,0.691699604743083
"358",2,0.559288537549407
"359",3,0.33596837944664
"360",4,0.531620553359684
"361",5,0.695652173913043
"362",6,0.588932806324111
"363",7,0.687747035573123
"364",1,0.543478260869565
"365",2,0.411067193675889
"732",5,0.83010752688172
"733",6,0.245161290322581
"734",7,0.387096774193548
"735",1,0.421505376344086
"736",2,0.440860215053763
"737",3,0.318279569892473
"738",4,0.520430107526882
"739",5,0.544086021505376
"740",6,0.341935483870968
"741",7,0.479569892473118
"742",1,0.331182795698925
"743",2,0.496774193548387
"744",3,0.387096774193548
"745",4,0.427956989247312
"746",5,0.531182795698925
"747",6,0.32258064516129
"748",7,0.436559139784946
"749",1,0.296774193548387
"750",2,0.402150537634409
"751",3,0.432258064516129
"752",4,0.548387096774194
"753",5,0.395698924731183
"754",6,0.408602150537634
"755",7,0.372043010752688
"756",1,0.438709677419355
"757",2,0.221505376344086
"758",3,0.389247311827957
"759",4,0.309677419354839
"760",5,0.335483870967742
"761",6,0.268817204301075
"762",7,0.010752688172043
"763",1,0.436559139784946
"764",2,0.361290322580645
"765",3,0.352688172043011
"766",4,0.212903225806452
"767",5,0.313978494623656
"768",6,0.141935483870968
"769",7,0.101075268817204
"770",1,0.167741935483871
"771",2,0.221505376344086
"772",3,0.189247311827957
"773",4,0.217204301075269
"774",5,0.32258064516129
"775",6,0.180645161290323
"776",7,0.146236559139785
"777",1,0
"778",2,0.0645161290322581
"779",3,0.212903225806452
"780",4,0.236559139784946
"781",5,0.335483870967742
"782",6,0.29247311827957
"783",7,0.273118279569892
"784",1,0.339784946236559
"785",2,0.451612903225806
"786",3,0.395698924731183
"787",4,0.423655913978495
"788",5,0.505376344086022
"789",6,0.496774193548387
"790",7,0.490322580645161
"791",1,0.597849462365591
"792",2,0.367741935483871
"793",3,0.494623655913978
"794",4,0.423655913978495
"795",5,0.419354838709677
"796",6,0.410752688172043
"797",7,0.331182795698925
"798",1,0.436559139784946
"799",2,0.539784946236559
"800",3,0.466666666666667
"801",4,0.341935483870968
"802",5,0.425806451612903
"803",6,0.365591397849462
"804",7,0.262365591397849
"805",1,0.337634408602151
"806",2,0.311827956989247
"807",3,0.376344086021505
"808",4,0.238709677419355
"809",5,0.359139784946237
"810",6,0.331182795698925
"811",7,0.458064516129032
"812",1,0.580645161290323
"813",2,0.339784946236559
"814",3,0.361290322580645
"815",4,0.286021505376344
"816",5,0.374193548387097
"817",6,0.305376344086021
"818",7,0.440860215053763
"819",1,0.348387096774194
"820",2,0.417204301075269
"821",3,0.331182795698925
"822",4,0.602150537634409
"823",5,0.367741935483871
"824",6,0.434408602150538
"825",7,0.445161290322581
"826",1,0.417204301075269
"827",2,0.455913978494624
"828",3,0.533333333333333
"829",4,0.320430107526882
"830",5,0.417204301075269
"831",6,0.382795698924731
"832",7,0.309677419354839
"833",1,0.412903225806452
"834",2,0.391397849462366
"835",3,0.283870967741935
"836",4,0.387096774193548
"837",5,0.406451612903226
