date,year,month,day,dow,dow_num,TOTAL_CRIMES,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BAR_OR_TAVERN,HAIRDRESSERS,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANING_STORE,CLUB,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,KENNEL,LAKE,LIBRARY,LIQUOR_STORE,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,RESIDENCE,RESTAURANT,RETAIL_STORE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,YARD,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2019-01-11,2019,1,11,Friday,5,784,3,4,14,0,102,0,2,2,1,1,6,9,0,0,0,0,0,0,7,1,0,0,0,0,3,2,4,0,21,7,3,0,13,0,1,1,0,0,0,0,0,0,11,7,9,0,0,6,5,0,1,0,0,0,0,1,0,0,2,0,34,1,25,0,2,0,0,158,23,0,0,5,27,52,23,0,0,161,1,1,0,3,1,0,17,0,0,0,0,1,45,117,38,0,1,74,0,24,61,0,0,2,1,0,2,27,65,0,0,8,0,58,0,0,8,0,27,4,2,201,14,28.6,13.4,1013.9,10.0,14.2,18.1,26.0,37.0,26.1,0.0,999.9,0
2019-01-12,2019,1,12,Saturday,6,673,0,1,8,0,84,1,3,1,0,1,4,22,2,0,1,0,1,0,7,1,0,0,0,0,5,0,4,0,16,4,2,0,13,1,3,0,0,1,0,0,0,0,10,2,17,0,0,4,3,0,0,0,1,0,0,1,0,0,5,0,20,0,21,0,3,0,0,139,24,0,0,2,5,44,15,0,0,143,1,2,0,4,0,2,18,0,0,1,0,2,55,124,26,0,8,54,5,11,49,0,0,3,0,0,1,21,48,0,0,7,0,50,8,0,1,0,17,2,1,165,14,23.1,3.7,1029.0,10.0,12.9,19.0,28.0,32.0,18.0,0.0,999.9,0
2019-01-13,2019,1,13,Sunday,7,573,1,5,10,0,92,0,2,0,0,0,0,12,0,0,0,0,0,0,2,2,0,0,0,0,3,0,1,0,13,3,0,0,8,4,0,0,0,0,0,0,0,0,10,0,11,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,27,1,13,1,0,1,0,125,9,0,0,0,1,47,12,2,0,127,3,2,0,0,0,0,11,0,0,0,0,1,40,130,29,0,1,52,0,22,17,2,0,3,0,0,0,20,36,0,0,8,0,37,10,0,4,0,23,3,0,117,18,26.0,12.8,1030.5,10.0,8.0,13.0,15.9,30.9,18.0,0.0,999.9,0
2019-01-14,2019,1,14,Monday,1,635,0,4,8,0,76,0,1,1,0,1,8,3,0,0,0,0,2,0,1,0,0,0,0,2,1,1,3,0,16,6,2,2,10,0,2,1,0,0,0,0,0,0,13,4,13,0,2,5,3,0,0,0,0,1,0,1,0,0,2,0,22,1,16,1,1,0,0,125,21,0,0,12,20,41,20,1,0,139,1,4,0,1,1,0,9,1,0,0,0,0,62,111,18,0,2,54,3,27,45,0,0,5,2,0,0,27,30,0,0,2,0,39,1,0,0,0,22,4,0,162,19,32.8,22.5,1021.6,10.0,15.3,21.0,26.0,35.1,19.9,0.0,999.9,0
2019-01-15,2019,1,15,Tuesday,2,698,0,3,5,0,98,0,2,0,0,0,3,1,1,0,0,0,0,0,4,2,0,0,0,1,5,0,3,0,17,7,2,0,15,2,6,0,0,0,0,0,0,0,14,2,7,0,1,5,1,0,0,0,0,2,0,0,0,0,2,0,25,2,19,0,6,0,0,157,23,0,0,5,24,37,19,1,0,148,1,1,0,1,0,0,10,0,0,0,0,0,51,124,25,0,2,57,1,26,71,0,0,5,1,0,0,28,45,0,0,3,0,52,6,0,2,0,23,5,2,159,9,29.4,18.7,1017.5,10.0,7.4,13.0,999.9,35.1,21.9,0.0,999.9,0
2019-01-16,2019,1,16,Wednesday,3,700,0,2,9,0,85,0,5,0,0,0,8,2,0,0,0,0,2,0,4,1,1,0,1,0,7,2,8,0,13,2,1,1,20,0,5,1,0,0,1,0,0,0,10,1,7,0,0,5,4,0,0,0,0,2,0,2,0,0,4,0,25,0,13,0,3,0,0,142,24,0,1,3,23,55,23,3,0,149,2,2,0,0,0,0,12,1,0,0,0,1,54,108,28,0,2,49,2,23,57,0,1,2,1,0,0,23,55,0,0,6,0,65,0,0,2,0,31,0,1,173,16,31.3,23.1,1017.3,9.8,9.1,19.0,26.0,43.0,19.0,0.0,999.9,0
2019-01-17,2019,1,17,Thursday,4,653,0,3,9,0,75,0,1,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,1,3,0,8,0,13,6,1,0,18,4,3,0,0,0,0,0,0,0,2,1,11,0,0,5,5,0,0,0,0,0,0,0,0,0,6,0,32,2,17,0,2,0,0,146,29,0,0,4,24,49,14,0,0,132,1,1,0,3,0,1,10,1,0,0,0,2,55,107,17,1,1,52,0,24,59,0,0,1,0,1,1,22,37,0,0,6,0,50,7,0,2,0,24,5,0,165,14,29.4,15.0,1024.6,10.0,11.2,17.1,25.1,43.0,19.0,0.0,999.9,0
2019-01-18,2019,1,18,Friday,5,668,0,2,14,0,83,0,2,2,0,1,4,11,0,0,0,0,0,0,0,2,0,0,0,1,2,1,5,1,14,3,2,0,19,3,3,2,0,0,0,0,0,0,4,1,14,0,0,3,2,0,0,0,0,1,0,1,0,0,3,0,38,1,21,0,2,1,0,153,15,0,0,2,22,34,21,0,0,137,1,1,0,1,0,0,9,0,0,0,0,3,54,114,33,0,2,53,0,21,57,0,0,2,0,0,0,30,36,0,0,5,0,48,0,0,2,0,22,0,1,164,21,33.2,28.1,1023.0,8.3,6.8,13.0,999.9,39.9,23.0,0.0,999.9,0
2019-01-19,2019,1,19,Saturday,6,522,1,1,9,0,79,0,0,0,0,0,3,18,0,0,2,0,0,0,4,3,0,0,0,0,7,0,0,0,4,1,1,0,11,0,2,0,0,0,0,0,0,0,12,0,8,0,0,7,9,0,0,0,0,1,0,1,0,0,3,0,19,0,9,0,3,0,0,112,18,0,0,1,3,28,14,0,0,112,5,0,0,0,0,0,9,0,0,0,0,0,25,107,21,2,3,52,3,20,43,0,0,5,0,0,1,14,30,0,0,3,0,30,1,0,2,0,21,4,0,114,17,34.5,29.7,1022.0,9.8,6.9,13.0,21.0,39.9,30.9,0.07,999.9,0
2019-01-20,2019,1,20,Sunday,7,493,0,2,5,0,78,0,0,0,0,1,2,14,0,0,0,0,0,0,2,1,0,0,0,0,4,0,5,0,7,5,0,0,8,0,2,0,0,0,0,0,0,0,9,0,6,0,0,6,4,0,0,0,0,0,0,0,1,0,3,0,22,2,7,0,3,0,1,109,11,0,0,0,0,24,19,0,0,110,0,1,0,0,0,1,17,0,0,0,0,1,43,109,13,0,7,48,1,15,32,0,0,5,0,0,0,19,23,0,0,3,0,45,0,0,3,0,16,2,0,100,7,43.2,42.4,1012.4,2.8,17.0,27.0,36.9,52.0,28.0,0.61,999.9,1
