month,day,dow,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BANQUET_HALL,BAR_OR_TAVERN,HAIRDRESSERS,BASEMENT,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANERS_LAUNDROMAT,CLEANING_STORE,CLUB,COACH_HOUSE,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DELIVERY_TRUCK,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,DUMPSTER,ELEVATOR,EXPRESSWAY_EMBANKMENT,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,FUNERAL_PARLOR,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HORSE_STABLE,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,JUNK_YARD_GARBAGE_DUMP,KENNEL,LAGOON,LAKE,LAUNDRY_ROOM,LIBRARY,LIQUOR_STORE,LIVERY_AUTO,LIVERY_STAND_OFFICE,LOADING_DOCK,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,PRAIRIE,PUBLIC_GRAMMAR_SCHOOL,PUBLIC_HIGH_SCHOOL,RAILROAD_PROPERTY,RESIDENCE,RESTAURANT,RETAIL_STORE,RIVER,ROOMING_HOUSE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SEWER,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRAILER,TRUCK,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,WOODED_AREA,YARD,YMCA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,DOMESTIC_VIOLENCE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
1,11,Saturday,1,0,8,0,90,0,1,4,0,0,2,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,5,0,12,4,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,22,0,11,0,1,0,0,0,0,0,0,125,22,0,0,0,0,1,0,0,41,19,0,0,108,1,0,0,0,0,1,0,0,19,1,0,0,0,0,0,2,51,98,24,0,1,45,3,19,38,0,0,0,2,0,0,0,28,45,0,0,3,0,37,0,0,3,0,22,0,0,125,14,49.4,46.1,1028.6,6.7,13.8,21,27.0,53.1,46.9,0.0,999.9,1
1,12,Sunday,1,2,10,0,90,0,2,0,0,0,1,0,11,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,4,0,9,0,9,8,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,9,1,15,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,24,2,9,0,2,1,0,0,0,0,0,125,16,0,0,0,0,0,1,0,40,14,0,0,117,1,1,0,0,0,1,0,2,12,0,0,1,0,0,0,1,37,115,20,1,0,71,1,15,40,0,0,0,3,0,0,2,21,30,0,0,6,0,31,0,0,0,0,24,1,0,144,11,52.0,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0.0,999.9,1
1,13,Monday,1,3,14,0,102,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,3,1,8,0,12,8,2,1,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,28,1,17,0,1,0,0,0,0,0,0,160,12,0,0,0,0,1,15,0,32,14,1,0,138,1,0,0,0,0,1,0,1,10,2,0,1,0,0,0,1,62,101,22,0,3,68,2,9,65,0,0,0,1,0,0,0,22,36,0,0,4,0,53,0,0,3,0,25,4,0,154,15,42.5,37.0,1029.6,9.5,9.2,13,999.9,57.0,39.9,0.01,999.9,0
1,14,Tuesday,0,2,14,0,102,0,1,1,0,1,3,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,2,0,5,0,9,13,0,0,0,15,2,2,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,31,0,23,0,2,0,0,0,0,0,0,121,12,0,0,0,0,3,22,0,51,18,0,0,150,0,1,0,0,0,3,0,0,11,1,0,1,0,0,0,1,55,105,22,0,2,49,1,26,56,0,0,0,3,1,0,1,22,46,0,0,6,0,55,0,0,5,0,16,6,0,170,12,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0
1,15,Wednesday,0,4,8,0,93,0,1,0,0,0,4,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,4,1,5,0,11,6,0,0,0,23,0,2,0,0,0,0,0,1,0,0,0,0,0,17,1,8,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,1,15,2,4,0,0,0,0,0,0,167,13,0,0,0,0,2,23,0,45,14,1,0,110,3,0,0,0,0,3,0,1,10,0,0,1,0,0,0,1,54,107,30,1,1,51,2,19,74,0,0,0,4,0,0,0,25,38,0,1,9,0,40,0,0,6,0,15,4,0,151,18,43.9,38.3,1019.4,8.2,5.4,14,15.0,51.1,35.1,0.02,999.9,1
1,16,Thursday,0,3,9,0,84,0,1,1,0,0,2,0,5,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,6,0,6,0,15,6,0,1,0,15,3,4,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,9,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5,0,36,2,12,0,2,0,0,0,0,0,0,133,13,0,0,0,0,3,23,0,36,17,1,0,165,1,0,0,0,0,3,0,0,9,1,0,0,0,0,0,2,53,118,23,0,0,75,4,18,43,0,0,0,3,1,1,0,24,37,0,0,6,0,61,7,0,0,0,21,3,0,166,7,40.4,34.3,1010.7,6.6,11,28.9,44.1,48.9,30.2,0.01,999.9,1
1,17,Friday,1,4,4,0,75,1,0,1,0,0,5,0,13,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,9,0,8,7,1,3,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,6,2,15,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,20,0,11,0,1,1,0,0,0,0,0,111,20,0,0,0,0,3,26,0,47,11,1,0,124,1,0,0,0,0,3,0,0,13,1,0,0,0,0,0,0,44,102,17,0,3,56,2,16,39,0,0,0,3,0,0,0,28,41,0,1,6,0,29,1,0,3,0,20,3,1,153,12,27.1,10.8,1023.8,10.0,24,28.9,40.0,50.0,21.9,0.04,999.9,0
1,18,Saturday,0,1,11,0,98,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,2,2,3,0,9,4,1,0,0,12,3,5,0,0,0,0,0,0,0,0,0,0,0,14,1,12,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,24,0,15,0,1,1,0,0,0,0,0,120,9,1,0,0,0,1,4,0,35,16,3,0,105,3,1,0,0,0,0,0,2,10,1,0,0,0,0,0,0,50,116,15,2,3,46,4,13,32,0,0,0,2,0,0,0,16,38,0,0,1,0,41,4,0,1,0,28,4,0,135,8,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19.0,0.0,999.9,1
1,19,Sunday,1,3,8,0,83,0,1,2,0,0,1,0,11,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,7,0,9,4,0,0,0,9,2,8,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,14,0,13,0,0,0,0,0,0,0,0,105,10,0,0,0,0,0,1,0,28,18,0,0,111,2,1,0,0,0,3,0,0,10,0,0,0,0,0,0,0,40,114,11,0,1,44,0,13,22,0,0,0,5,0,0,0,32,30,0,0,2,0,37,0,0,2,0,11,1,0,120,17,41.2,35.8,1004.9,7.5,14.4,22,27.0,46.9,19.0,0.21,999.9,1
1,20,Monday,0,4,9,0,93,2,2,2,0,0,5,0,2,1,0,0,0,0,0,0,6,1,0,1,0,0,0,0,2,2,3,0,7,2,1,0,0,12,3,8,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,1,18,0,3,0,0,0,0,0,0,118,17,0,0,0,0,0,1,0,40,20,0,0,148,1,0,0,0,0,4,0,1,13,0,0,1,0,0,0,0,48,107,20,0,1,49,4,11,40,0,0,0,5,0,0,0,26,56,0,1,3,0,49,1,0,5,0,22,2,1,152,16,28.1,16.1,1015.1,10.0,15.7,20,27.0,46.9,21.9,0.04,999.9,0
