"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thusday","Tuesday","Wednesday","year","temp","TOTAL_CRIMES","BAR_TAVERN","BATTERY"
"38",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,40.6,0.594861660079051,0.171428571428571,0.144827586206897
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,31.5,0.820158102766798,0.628571428571429,0.413793103448276
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,28.7,0.58695652173913,0.742857142857143,0.441379310344828
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,30.7,0.563241106719368,0.0857142857142857,0.158620689655172
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,29.4,0.640316205533597,0.114285714285714,0.262068965517241
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,41.1,0.596837944664032,0.0285714285714286,0.262068965517241
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,35.5,0.792490118577075,0.0857142857142857,0.524137931034483
"45",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,39.8,0.790513833992095,0.171428571428571,0.289655172413793
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,41.1,0.66403162055336,0.257142857142857,0.455172413793103
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,30.9,0.547430830039526,0.4,0.482758620689655
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,32.8,0.492094861660079,0.0857142857142857,0.220689655172414
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,25.9,0.537549407114625,0.0571428571428571,0.137931034482759
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,26.7,0.58102766798419,0.0285714285714286,0.255172413793103
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,36.8,0.701581027667984,0.114285714285714,0.303448275862069
"52",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,38.3,0.733201581027668,0.142857142857143,0.296551724137931
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,34.8,0.604743083003953,0.571428571428571,0.303448275862069
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,40.5,0.407114624505929,0.342857142857143,0.275862068965517
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,38.7,0.505928853754941,0.114285714285714,0.213793103448276
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,29.2,0.529644268774704,0,0.227586206896552
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,21.6,0.608695652173913,0.0285714285714286,0.23448275862069
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,26,0.50197628458498,0.0857142857142857,0.137931034482759
"59",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,26.7,0.820158102766798,0.171428571428571,0.131034482758621
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,35.1,0.640316205533597,0.228571428571429,0.406896551724138
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,34.5,0.41501976284585,0.314285714285714,0.351724137931034
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,37.9,0.401185770750988,0.0285714285714286,0.2
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,28.2,0.397233201581028,0.0285714285714286,0.0827586206896552
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,25.4,0.569169960474308,0.0571428571428571,0.206896551724138
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,22.1,0.531620553359684,0.2,0.227586206896552
"66",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,27.2,0.745059288537549,0.171428571428571,0.372413793103448
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,35.1,0.545454545454545,0.142857142857143,0.468965517241379
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,36.8,0.535573122529644,0.428571428571429,0.427586206896552
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,41.7,0.709486166007905,0.0857142857142857,0.337931034482759
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,38.6,0.565217391304348,0.0571428571428571,0.172413793103448
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,34.5,0.685770750988142,0.0285714285714286,0.372413793103448
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,39,0.662055335968379,0.0285714285714286,0.317241379310345
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,45.3,0.778656126482213,0.142857142857143,0.4
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,46.9,0.839920948616601,1,0.827586206896552
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,36.3,0.535573122529644,0.628571428571429,0.43448275862069
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,34.5,0.612648221343874,0.171428571428571,0.420689655172414
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,35.2,0.598814229249012,0,0.351724137931034
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,36.9,0.695652173913043,0.0571428571428571,0.16551724137931
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,40.7,0.687747035573123,0.0857142857142857,0.427586206896552
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,42.3,0.727272727272727,0.171428571428571,0.406896551724138
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,39.3,0.689723320158103,0.571428571428571,0.572413793103448
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,39.1,0.606719367588933,0.485714285714286,0.455172413793103
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,42.5,0.588932806324111,0.0571428571428571,0.248275862068966
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,36.9,0.654150197628458,0,0.248275862068966
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,34.4,0.705533596837945,0.0285714285714286,0.379310344827586
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,36.3,0.675889328063241,0.0857142857142857,0.475862068965517
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,44.4,0.660079051383399,0.142857142857143,0.420689655172414
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,46.1,0.636363636363636,0.257142857142857,0.386206896551724
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,49.2,0.58498023715415,0.685714285714286,0.627586206896552
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,41.8,0.895256916996047,0.0857142857142857,0.420689655172414
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,37.1,0.624505928853755,0.0857142857142857,0.255172413793103
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,43.7,0.6699604743083,0,0.268965517241379
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,44.5,0.636363636363636,0.0285714285714286,0.379310344827586
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,39.4,0.719367588932806,0.114285714285714,0.303448275862069
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,46.3,0.794466403162055,0.428571428571429,0.606896551724138
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,45.3,0.715415019762846,0.314285714285714,0.620689655172414
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,46.2,0.796442687747036,0.114285714285714,0.517241379310345
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,41.4,0.695652173913043,0.0571428571428571,0.427586206896552
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,41.8,0.628458498023715,0.0285714285714286,0.096551724137931
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,40.3,0.800395256916996,0.0285714285714286,0.310344827586207
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,43.8,0.867588932806324,0.142857142857143,0.186206896551724
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,49.7,0.816205533596838,0.371428571428571,0.468965517241379
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,50.8,0.385375494071146,0.371428571428571,0.317241379310345
