month,day,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BANQUET_HALL,BAR_OR_TAVERN,HAIRDRESSERS,BASEMENT,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANERS_LAUNDROMAT,CLEANING_STORE,CLUB,COACH_HOUSE,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DELIVERY_TRUCK,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,DUMPSTER,ELEVATOR,EXPRESSWAY_EMBANKMENT,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,FUNERAL_PARLOR,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HORSE_STABLE,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,JUNK_YARD_GARBAGE_DUMP,KENNEL,LAGOON,LAKE,LAUNDRY_ROOM,LIBRARY,LIQUOR_STORE,LIVERY_AUTO,LIVERY_STAND_OFFICE,LOADING_DOCK,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,PRAIRIE,PUBLIC_GRAMMAR_SCHOOL,PUBLIC_HIGH_SCHOOL,RAILROAD_PROPERTY,RESIDENCE,RESTAURANT,RETAIL_STORE,RIVER,ROOMING_HOUSE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SEWER,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRAILER,TRUCK,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,WOODED_AREA,YARD,YMCA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,DOMESTIC_VIOLENCE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION
4,1,1,1,10,0,112,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,2,5,0,5,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,164,6,0,0,0,0,1,4,0,30,9,0,0,98,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,41,100,23,0,0,59,5,9,88,0,0,0,0,0,0,0,29,1,0,0,1,0,33,0,0,3,0,15,6,2,103,10
4,7,0,2,11,0,87,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,8,1,3,0,4,4,0,0,0,3,3,2,0,0,0,0,0,0,1,0,0,0,0,10,1,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,12,1,0,0,0,0,0,0,0,106,3,0,0,0,0,1,1,0,40,5,0,0,110,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,38,116,24,0,0,59,1,2,22,0,0,0,2,1,0,0,23,1,0,0,4,0,27,0,0,4,0,14,1,0,84,27
4,13,0,0,8,0,87,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,5,1,4,0,6,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,2,15,0,1,0,0,0,0,0,0,111,3,0,0,0,0,0,0,0,20,7,0,0,76,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,33,84,13,0,0,65,1,7,25,0,0,0,1,0,0,0,22,4,0,0,6,0,21,0,0,1,0,16,3,0,81,12
4,21,0,0,12,1,91,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,6,0,2,5,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,8,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,1,0,0,0,0,105,4,0,0,0,0,0,1,0,26,8,0,0,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,31,92,9,1,0,51,1,9,42,0,0,0,0,0,0,0,22,7,0,0,4,0,29,1,0,1,0,17,5,0,82,10
5,30,1,0,14,1,85,3,1,1,1,4,15,0,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,23,0,15,0,7,5,3,0,0,35,0,4,0,0,0,0,0,1,0,0,0,0,0,7,2,19,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,43,1,26,1,4,0,0,0,0,0,0,126,49,0,0,0,0,8,3,0,56,97,0,0,213,7,0,0,0,0,2,0,0,15,0,0,3,0,0,0,17,50,155,215,0,0,183,2,5,11,0,0,0,2,0,0,0,37,4,0,0,1,0,26,0,0,42,0,32,2,0,114,18
5,31,0,1,24,0,79,5,1,5,3,10,23,0,7,12,0,0,0,0,1,0,5,1,0,1,0,0,0,0,70,1,75,0,2,5,43,2,0,59,2,21,0,0,0,0,0,0,2,0,0,0,0,43,3,52,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,136,1,60,15,2,0,0,0,0,0,0,104,77,1,0,0,2,0,1,0,58,484,1,0,313,50,0,0,0,0,2,0,0,10,1,0,1,0,0,0,28,43,139,581,1,0,343,4,19,22,0,0,0,2,0,0,0,93,5,0,0,6,0,19,0,0,310,0,81,3,0,132,49
5,28,1,1,15,0,108,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,4,4,1,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,3,9,0,3,0,0,0,0,0,0,137,4,0,0,0,0,0,0,0,35,9,0,0,130,2,0,0,0,0,2,1,0,13,2,0,1,0,0,0,1,71,135,18,1,0,64,3,10,26,0,0,0,1,0,2,0,21,19,0,0,2,0,23,0,0,4,0,21,4,0,101,23
5,15,1,0,11,0,107,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,5,1,3,4,1,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,2,7,0,3,0,0,0,0,0,0,126,8,0,0,0,0,1,0,0,37,12,1,0,148,1,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,62,108,21,0,0,65,1,12,44,0,1,0,1,0,0,0,24,23,0,1,5,0,29,0,0,3,0,18,1,0,98,30
5,14,0,3,11,0,98,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,1,1,7,0,7,0,4,5,1,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,4,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,1,11,0,2,0,0,0,0,0,0,127,7,0,0,0,0,1,0,0,18,6,0,0,98,1,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,37,97,17,0,0,70,2,7,36,0,0,0,0,3,0,0,25,17,0,0,4,0,24,0,0,1,0,16,4,1,89,18
5,4,0,0,10,0,93,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,1,0,4,2,2,1,0,5,2,3,0,0,0,0,0,0,1,0,0,0,0,6,1,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,9,0,1,0,0,0,0,0,0,102,11,0,0,0,0,0,2,0,21,10,0,0,97,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,38,95,20,0,0,59,2,8,38,0,0,0,1,0,0,0,23,12,0,0,3,0,21,0,0,1,0,15,1,1,91,8
