"","dow","BAR_OR_TAVERN"
"212","Wednesday",0.0571428571428571
"216","Sunday",0.8
"217","Monday",0
"218","Tuesday",0.0285714285714286
"219","Wednesday",0.0857142857142857
"220","Thursday",0.0571428571428571
"221","Friday",0.142857142857143
"222","Saturday",0.228571428571429
"223","Sunday",0.342857142857143
"224","Monday",0
"225","Tuesday",0.0285714285714286
"226","Wednesday",0.0285714285714286
"227","Thursday",0.371428571428571
"228","Friday",0.228571428571429
"229","Saturday",0.257142857142857
"230","Sunday",0.314285714285714
"231","Monday",0.142857142857143
"232","Tuesday",0
"233","Wednesday",0.0857142857142857
"234","Thursday",0.142857142857143
"235","Friday",0.114285714285714
"236","Saturday",0.2
"237","Sunday",0.0857142857142857
"238","Monday",0.0571428571428571
"239","Tuesday",0.0571428571428571
"240","Wednesday",0.0571428571428571
"241","Thursday",0.0571428571428571
"242","Friday",0.0857142857142857
"243","Saturday",0.342857142857143
"245","Monday",0.0571428571428571
"246","Tuesday",0.0285714285714286
"247","Wednesday",0.0571428571428571
"248","Thursday",0.0285714285714286
"249","Friday",0.257142857142857
"250","Saturday",0.228571428571429
"251","Sunday",0.2
"252","Monday",0.0285714285714286
"253","Tuesday",0.0285714285714286
"254","Wednesday",0.0285714285714286
"255","Thursday",0.0857142857142857
"256","Friday",0.257142857142857
"257","Saturday",0.457142857142857
"258","Sunday",0.342857142857143
"259","Monday",0.0285714285714286
"260","Tuesday",0.0857142857142857
"261","Wednesday",0
"262","Thursday",0.0571428571428571
"263","Friday",0.257142857142857
"264","Saturday",0.342857142857143
"265","Sunday",0.4
"266","Monday",0
"267","Tuesday",0.0857142857142857
"268","Wednesday",0.0857142857142857
"269","Thursday",0.0285714285714286
"270","Friday",0.2
"271","Saturday",0.285714285714286
"272","Sunday",0.4
"273","Monday",0.0571428571428571
"275","Wednesday",0.114285714285714
"276","Thursday",0.0571428571428571
"277","Friday",0.2
"278","Saturday",0.314285714285714
"279","Sunday",0.371428571428571
"280","Monday",0.142857142857143
"281","Tuesday",0.0285714285714286
"282","Wednesday",0
"283","Thursday",0.0857142857142857
"284","Friday",0.0285714285714286
"285","Saturday",0.2
"286","Sunday",0.314285714285714
"287","Monday",0.0857142857142857
"288","Tuesday",0.0285714285714286
"289","Wednesday",0.142857142857143
"290","Thursday",0.114285714285714
"291","Friday",0.114285714285714
"292","Saturday",0.228571428571429
"293","Sunday",0.228571428571429
"294","Monday",0.0857142857142857
"295","Tuesday",0
"296","Wednesday",0
"297","Thursday",0.0285714285714286
"298","Friday",0.171428571428571
"299","Saturday",0.628571428571429
"300","Sunday",0.628571428571429
"301","Monday",0.171428571428571
"302","Tuesday",0.0857142857142857
"303","Wednesday",0.0857142857142857
"304","Thursday",0.285714285714286
"306","Saturday",0.542857142857143
"307","Sunday",0.371428571428571
"308","Monday",0.0285714285714286
"309","Tuesday",0.0285714285714286
"310","Wednesday",0.0571428571428571
"311","Thursday",0.171428571428571
"312","Friday",0.0285714285714286
"313","Saturday",0.285714285714286
"314","Sunday",0.257142857142857
"315","Monday",0.0571428571428571
"316","Tuesday",0.0285714285714286
"317","Wednesday",0.0857142857142857
"318","Thursday",0.0285714285714286
"319","Friday",0.142857142857143
"320","Saturday",0.114285714285714
"321","Sunday",0.457142857142857
"322","Monday",0.0285714285714286
"323","Tuesday",0
"324","Wednesday",0
"325","Thursday",0.0857142857142857
"326","Friday",0.114285714285714
"327","Saturday",0.514285714285714
"328","Sunday",0.342857142857143
"329","Monday",0
"330","Tuesday",0
"331","Wednesday",0.0571428571428571
"332","Thursday",0.0571428571428571
"333","Friday",0.2
"334","Saturday",0.4
"335","Sunday",0.285714285714286
"336","Monday",0.0571428571428571
"337","Tuesday",0.114285714285714
"338","Wednesday",0.0857142857142857
"339","Thursday",0.0285714285714286
"340","Friday",0.171428571428571
"341","Saturday",0.2
"342","Sunday",0.257142857142857
"343","Monday",0.0571428571428571
"344","Tuesday",0.0571428571428571
"345","Wednesday",0.0285714285714286
"346","Thursday",0.171428571428571
"347","Friday",0.371428571428571
"348","Saturday",0.457142857142857
"349","Sunday",0.428571428571429
"350","Monday",0.0857142857142857
"351","Tuesday",0.0571428571428571
"352","Wednesday",0.142857142857143
"353","Thursday",0.0857142857142857
"354","Friday",0.228571428571429
"355","Saturday",0.4
"356","Sunday",0.428571428571429
"357","Monday",0.142857142857143
"358","Tuesday",0.0571428571428571
"359","Wednesday",0.0285714285714286
"360","Thursday",0
"361","Friday",0.0857142857142857
"362","Saturday",0.171428571428571
"363","Sunday",0.285714285714286
"364","Monday",0.257142857142857
"365","Tuesday",0.2
"732","Friday",0.181818181818182
"733","Saturday",0.0454545454545455
"734","Sunday",0
"735","Monday",0
"736","Tuesday",0
"737","Wednesday",0
"738","Thursday",0.0454545454545455
"739","Friday",0.0909090909090909
"740","Saturday",0.0454545454545455
"741","Sunday",0
"742","Monday",0
"743","Tuesday",0
"744","Wednesday",0
"745","Thursday",0
"746","Friday",0.0909090909090909
"747","Saturday",0
"748","Sunday",0.0909090909090909
"749","Monday",0
"750","Tuesday",0
"751","Wednesday",0
"752","Thursday",0
"753","Friday",0.0909090909090909
"754","Saturday",0.0909090909090909
"755","Sunday",0.0909090909090909
"756","Monday",0
"757","Tuesday",0
"758","Wednesday",0
"759","Thursday",0
"760","Friday",0
"761","Saturday",0
"762","Sunday",0.0909090909090909
"763","Monday",0
"764","Tuesday",0
"765","Wednesday",0.0909090909090909
"766","Thursday",0.0454545454545455
"767","Friday",0.0454545454545455
"768","Saturday",0.0454545454545455
"769","Sunday",0.0909090909090909
"770","Monday",0
"771","Tuesday",0.0454545454545455
"772","Wednesday",0
"773","Thursday",0.0454545454545455
"774","Friday",0
"775","Saturday",0.0909090909090909
"776","Sunday",0.0909090909090909
"777","Monday",0
"778","Tuesday",0.0454545454545455
"779","Wednesday",0
"780","Thursday",0
"781","Friday",0.0909090909090909
"782","Saturday",0.0454545454545455
"783","Sunday",0.0454545454545455
"784","Monday",0.136363636363636
"785","Tuesday",0
"786","Wednesday",0.0454545454545455
"787","Thursday",0.0909090909090909
"788","Friday",0.0454545454545455
"789","Saturday",0
"790","Sunday",0.0454545454545455
"791","Monday",0
"792","Tuesday",0.0454545454545455
"793","Wednesday",0
"794","Thursday",0.0454545454545455
"795","Friday",0.0909090909090909
"796","Saturday",0.136363636363636
"797","Sunday",0.0454545454545455
"798","Monday",0
"799","Tuesday",0
"800","Wednesday",0.0909090909090909
"801","Thursday",0
"802","Friday",0
"803","Saturday",0.227272727272727
"804","Sunday",0.136363636363636
"805","Monday",0.0909090909090909
"806","Tuesday",0.181818181818182
"807","Wednesday",0.0909090909090909
"808","Thursday",0.0454545454545455
"809","Friday",0
"810","Saturday",0.136363636363636
"811","Sunday",0.0454545454545455
"812","Monday",0.0454545454545455
"813","Tuesday",0
"814","Wednesday",0.0454545454545455
"815","Thursday",0.0454545454545455
"816","Friday",0
"817","Saturday",0.136363636363636
"818","Sunday",0.227272727272727
"819","Monday",0
"820","Tuesday",0.0454545454545455
"821","Wednesday",0
"822","Thursday",0.0454545454545455
"823","Friday",0.136363636363636
"824","Saturday",0.272727272727273
"825","Sunday",0.0454545454545455
"826","Monday",0.0454545454545455
"827","Tuesday",0
"828","Wednesday",0.0454545454545455
"829","Thursday",0.0454545454545455
"830","Friday",0.0909090909090909
"831","Saturday",0.181818181818182
"832","Sunday",0.0454545454545455
"833","Monday",0.0454545454545455
"834","Tuesday",0.0454545454545455
"835","Wednesday",0
"836","Thursday",0.0454545454545455
"837","Friday",0
"838","Saturday",0.227272727272727
"839","Sunday",0.0454545454545455
"840","Monday",0
"841","Tuesday",0.0454545454545455
"842","Wednesday",0
"843","Thursday",0
"844","Friday",0.136363636363636
"845","Saturday",0.181818181818182
