"","dow_num","BATTERY"
"2",3,0.186206896551724
"3",4,0.23448275862069
"4",5,0.186206896551724
"5",6,0.655172413793103
"6",7,0.448275862068966
"7",1,0.206896551724138
"8",2,0.317241379310345
"9",3,0.151724137931034
"10",4,0.241379310344828
"11",5,0.268965517241379
"12",6,0.317241379310345
"13",7,0.358620689655172
"14",1,0.227586206896552
"15",2,0.317241379310345
"16",3,0.206896551724138
"17",4,0.2
"18",5,0.248275862068966
"19",6,0.2
"20",7,0.213793103448276
"21",1,0
"22",2,0.227586206896552
"23",3,0.131034482758621
"24",4,0.220689655172414
"25",5,0.213793103448276
"26",6,0.193103448275862
"27",7,0.172413793103448
"28",1,0.213793103448276
"29",2,0.0413793103448276
"30",3,0.0344827586206897
"31",4,0.0275862068965517
"32",5,0.0827586206896552
"33",6,0.331034482758621
"34",7,0.413793103448276
"35",1,0.351724137931034
"36",2,0.179310344827586
"37",3,0.296551724137931
"38",4,0.303448275862069
"39",5,0.144827586206897
"40",6,0.413793103448276
"41",7,0.441379310344828
"42",1,0.158620689655172
"43",2,0.262068965517241
"44",3,0.262068965517241
"45",4,0.524137931034483
"46",5,0.289655172413793
"47",6,0.455172413793103
"48",7,0.482758620689655
"49",1,0.220689655172414
"50",2,0.137931034482759
"51",3,0.255172413793103
"52",4,0.303448275862069
"53",5,0.296551724137931
"54",6,0.303448275862069
"55",7,0.275862068965517
"56",1,0.213793103448276
"57",2,0.227586206896552
"58",3,0.23448275862069
"59",4,0.137931034482759
"60",5,0.131034482758621
"61",6,0.406896551724138
"62",7,0.351724137931034
"63",1,0.2
"64",2,0.0827586206896552
"65",3,0.206896551724138
"66",4,0.227586206896552
"67",5,0.372413793103448
"68",6,0.468965517241379
"69",7,0.427586206896552
"70",1,0.337931034482759
"71",2,0.172413793103448
"72",3,0.372413793103448
"73",4,0.317241379310345
"74",5,0.4
"75",6,0.827586206896552
"76",7,0.43448275862069
"77",1,0.420689655172414
"78",2,0.351724137931034
"79",3,0.16551724137931
"80",4,0.427586206896552
"81",5,0.406896551724138
"82",6,0.572413793103448
"83",7,0.455172413793103
"84",1,0.248275862068966
"85",2,0.248275862068966
"86",3,0.379310344827586
"87",4,0.475862068965517
"88",5,0.420689655172414
"89",6,0.386206896551724
"90",7,0.627586206896552
"91",1,0.420689655172414
"92",2,0.255172413793103
"93",3,0.268965517241379
"94",4,0.379310344827586
"95",5,0.303448275862069
"96",6,0.606896551724138
"97",7,0.620689655172414
"98",1,0.517241379310345
"99",2,0.427586206896552
"100",3,0.096551724137931
"101",4,0.310344827586207
"102",5,0.186206896551724
"103",6,0.468965517241379
"104",7,0.317241379310345
"105",1,0.220689655172414
"106",2,0.441379310344828
"107",3,0.289655172413793
"108",4,0.303448275862069
"109",5,0.213793103448276
"110",6,0.544827586206897
"111",7,0.710344827586207
"112",1,0.427586206896552
"113",2,0.351724137931034
"114",3,0.275862068965517
"115",4,0.462068965517241
"116",5,0.358620689655172
"117",6,0.4
"118",7,0.441379310344828
"119",1,0.275862068965517
"120",2,0.393103448275862
"121",3,0.351724137931034
"122",4,0.289655172413793
"123",5,0.36551724137931
"124",6,0.544827586206897
"125",7,0.758620689655172
"126",1,0.510344827586207
"127",2,0.386206896551724
"128",3,0.620689655172414
"129",4,0.413793103448276
"130",5,0.56551724137931
"131",6,0.351724137931034
"132",7,0.420689655172414
"133",1,0.551724137931034
"134",2,0.468965517241379
"135",3,0.462068965517241
"136",4,0.379310344827586
"137",5,0.524137931034483
"138",6,0.641379310344828
"139",7,0.827586206896552
"140",1,0.482758620689655
"141",2,0.379310344827586
"142",3,0.531034482758621
"143",4,0.641379310344828
"144",5,0.56551724137931
"146",7,0.889655172413793
"147",1,0.551724137931034
"148",2,0.379310344827586
"149",3,0.420689655172414
"150",4,0.406896551724138
"151",5,0.56551724137931
"153",7,0.689655172413793
"154",1,0.268965517241379
"155",2,0.558620689655172
"156",3,0.455172413793103
"157",4,0.475862068965517
"158",5,0.620689655172414
"160",7,0.703448275862069
"161",1,0.496551724137931
"162",2,0.572413793103448
"163",3,0.427586206896552
